#tax_id,GeneID,Symbol
9606,1292,COL6A2
9606,1293,COL6A3
9606,1294,COL7A1
9606,1295,COL8A1
9606,1296,COL8A2
9606,1297,COL9A1
9606,1298,COL9A2
9606,1299,COL9A3
9606,1300,COL10A1
9606,1301,COL11A1
9606,1302,COL11A2
9606,1303,COL12A1
9606,1305,COL13A1
9606,1306,COL15A1
9606,1307,COL16A1
9606,1308,COL17A1
9606,1310,COL19A1
9606,1311,COMP
9606,1312,COMT
9606,1314,COPA
9606,1315,COPB1
9606,1316,KLF6
9606,1317,SLC31A1
9606,1318,SLC31A2
9606,1319,CORD1
9606,1325,CORT
9606,1326,MAP3K8
9606,1327,COX4I1
9606,1329,COX5B
9606,1330,COX5BP1
9606,1331,COX5BP2
9606,1332,COX5BP3
9606,1333,COX5BP4
9606,1336,COX5BP7
9606,1337,COX6A1
9606,1338,COX6A1P1
9606,1339,COX6A2
9606,1340,COX6B1
9606,1342,COX6B1P2
9606,1343,COX6B1P3
9606,1345,COX6C
9606,1346,COX7A1
9606,1347,COX7A2
9606,1348,COX7A2P2
9606,1349,COX7B
9606,1350,COX7C
9606,1351,COX8A
9606,1352,COX10
9606,1353,COX11
9606,1355,COX15
9606,1356,CP
9606,1357,CPA1
9606,1358,CPA2
9606,1359,CPA3
9606,1360,CPB1
9606,1361,CPB2
9606,1362,CPD
9606,1363,CPE
9606,1364,CLDN4
9606,1365,CLDN3
9606,1366,CLDN7
9606,1368,CPM
9606,1369,CPN1
9606,1370,CPN2
9606,1371,CPOX
9606,1373,CPS1
9606,1374,CPT1A
9606,1375,CPT1B
9606,1376,CPT2
9606,1378,CR1
9606,1379,CR1L
9606,1380,CR2
9606,1381,CRABP1
9606,1382,CRABP2
9606,1384,CRAT
9606,1385,CREB1
9606,1386,ATF2
9606,1387,CREBBP
9606,1388,ATF6B
9606,1389,CREBL2
9606,1390,CREM
9606,1392,CRH
9606,1393,CRHBP
9606,1394,CRHR1
9606,1395,CRHR2
9606,1396,CRIP1
9606,1397,CRIP2
9606,1398,CRK
9606,1399,CRKL
9606,1400,CRMP1
9606,1401,CRP
9606,1404,HAPLN1
9606,1406,CRX
9606,1407,CRY1
9606,1408,CRY2
9606,1409,CRYAA
9606,1410,CRYAB
9606,1411,CRYBA1
9606,1412,CRYBA2
9606,1413,CRYBA4
9606,1414,CRYBB1
9606,1415,CRYBB2
9606,1416,CRYBB2P1
9606,1417,CRYBB3
9606,1418,CRYGA
9606,1419,CRYGB
9606,1420,CRYGC
9606,1421,CRYGD
9606,1423,CRYGFP
9606,1424,CRYGGP
9606,1427,CRYGS
9606,1428,CRYM
9606,1429,CRYZ
9606,1430,CRYZP1
9606,1431,CS
9606,1432,MAPK14
9606,1434,CSE1L
9606,1435,CSF1
9606,1436,CSF1R
9606,1437,CSF2
9606,1438,CSF2RA
9606,1439,CSF2RB
9606,1440,CSF3
9606,1441,CSF3R
9606,1442,CSH1
9606,1443,CSH2
9606,1444,CSHL1
9606,1445,CSK
9606,1446,CSN1S1
9606,1447,CSN2
9606,1448,CSN3
9606,1452,CSNK1A1
9606,1453,CSNK1D
9606,1454,CSNK1E
9606,1455,CSNK1G2
9606,1456,CSNK1G3
9606,1457,CSNK2A1
9606,1459,CSNK2A2
9606,1460,CSNK2B
9606,1462,VCAN
9606,1463,NCAN
9606,1464,CSPG4
9606,1465,CSRP1
9606,1466,CSRP2
9606,1467,CSRP2P1
9606,1468,SLC25A10
9606,1469,CST1
9606,1470,CST2
9606,1471,CST3
9606,1472,CST4
9606,1473,CST5
9606,1474,CST6
9606,1475,CSTA
9606,1476,CSTB
9606,1477,CSTF1
9606,1478,CSTF2
9606,1479,CSTF3
9606,1480,CSTP1
9606,1481,CSTP2
9606,1482,NKX2-5
9606,1483,CTAA1
9606,1484,CTAA2
9606,1485,CTAG1B
9606,1486,CTBS
9606,1487,CTBP1
9606,1488,CTBP2
9606,1489,CTF1
9606,1490,CCN2
9606,1491,CTH
9606,1493,CTLA4
9606,1495,CTNNA1
9606,1496,CTNNA2
9606,1497,CTNS
9606,1498,CTNNA1P1
9606,1499,CTNNB1
9606,1500,CTNND1
9606,1501,CTNND2
9606,1503,CTPS1
9606,1504,CTRB1
9606,1506,CTRL
9606,1508,CTSB
9606,1509,CTSD
9606,1510,CTSE
9606,1511,CTSG
9606,1512,CTSH
9606,1513,CTSK
9606,1514,CTSL
9606,1515,CTSV
9606,1517,CTSLP2
9606,1518,CTSLP8
9606,1519,CTSO
9606,1520,CTSS
9606,1521,CTSW
9606,1522,CTSZ
9606,1523,CUX1
9606,1524,CX3CR1
9606,1525,CXADR
9606,1526,CXB3S
9606,1527,TEX28
9606,1528,CYB5A
9606,1531,CYB5AP3
